class,age,gender,survival
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Male,Dead
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Alive
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Adult,Female,Dead
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Male,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Second,Child,Female,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Alive
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
Third,Adult,Male,Dead
